Answer,Clue,Description
CARSON,Silent Spring Author,Reference to author Rachel Carson. �Silent Spring� is an environmental science book documenting the environmental harm caused by the indiscriminate use of pesticides.
TSAI,Taiwan President Ing-wen,"Tsai Ing-wen is a Taiwanese politician who has served as the president of the Republic of China since 2016. A member of the Democratic Progressive Party, Tsai is the first female president of Taiwan."
KURALT,Charles known for his �On the Road� segments,"Reference to american journalist Charles Kuralt. Kuralt was an American television, newspaper and radio journalist and author. He is most widely known for his long career with CBS"
RENEE,"Rapp of ""The Sex Lives of College Girls","Reference to Renee Rapp. Rapp is an American actress and singer. After she won the 2018 Jimmy Award for Best Performance by an Actress, she took over the role of Regina George in the Broadway musical Mean Girls. She then went on to play Leighton in the HBO Max comedy series The Sex Lives of College Girls."
ANA,"""Knives Out"" star de Armas",Reference to Ana de Armas. Armas is a Cuban and Spanish actress. She began her career in Cuba and had a leading role in the romantic drama Una rosa de Francia.
ARIANA,"DeBose who won an Oscar for ""West Side Story""","Reference to Ariana DeBose. DeBose is an American actress, dancer, and singer. She has received various accolades, including an Academy Award, a British Academy Film Award, a Golden Globe Award and a nomination for a Tony Award. West Side Story is a 2021 American musical romantic drama film"
CRAB,Twins-lion go-between,"This is a reference to zodiac signs. The sign for Cancer is symbolized by a crab, and sits between Gemini and Leo, which are represented by twins and a lion, respectively."
AGETEN,"Like Bart Simpson, year after year","This clue is referencing the character Bart Simpson from The Simpsons. Canonically, he is and has always been ten."
EKE,____ out a living,common phrase
DIURNAL,On a daily schedule,Diurnal: during the day
CUB,Chicago or Cheetah follower,"Reference to the Chicago Cubs baseball team in the mlb, or to cheetah cubs"
OLEELO,Compilation album of 1976,Ole ELO is a compilation album by the Electric Light Orchestra covering their early years. Released in 1976
IBM,Watson's creator,"IBM Watson is a question-answering computer system capable of answering questions posed in natural language, developed in IBM's DeepQA project by a research team led by principal investigator David Ferrucci."
ANI,Darth Vader's Boyhood nickname,Short for Anakin
HOHO,Snack that resembles a Swiss Roll,Ho Hos are a Hostess snack
ETTA,"""At Last"" singer James","Jamesetta Hawkins, known professionally as Etta James, was an American singer who performed in various genres, including gospel, blues, jazz, R&B, rock and roll, and soul."
UTE,"Chief Colorow, for one","Colorow was a Ute chief of the Ute Mountain Utes, skilled horseman, and warrior. He was involved in treaty negotiations with the U.S. government."
TEAS,Caddy Choices,"Caddy: a small box, can, or chest used especially to keep tea in"
CURT,"Short, to the point of rudeness",Curt: rudely brief
PICA,Printing measure,"The pica is a typographic unit of measure corresponding to approximately 1�6 of an inch, or from 1�68 to 1�73 of a foot. One pica is further divided into 12 points."
TASSEL,Fez feature,"The fez, also called tarboosh/tarboush, is a felt headdress in the shape of a short cylindrical, truncated hat, usually red, and sometimes with a black tassel attached to the top."
OTIS,Elevator handle?,Otis is the world's leading company for elevator and escalator manufacturing.
ARETHA,"She sang a 1989 duet of ""It Isn't, It Wasn't, It Ain't Never Gonna Be"" with Whitney","Reference to Aretha Franklin. Franklin was an American singer, songwriter and pianist. Referred to as the ""Queen of Soul"", she has twice been placed ninth in Rolling Stone's ""100 Greatest Artists of All Time""."
ING,Dutch banking giant,ING is a dutch banking giant (:
NOIR,Roulette bet,"""NOIR"" is the French word for ""black,"" and in roulette, players can place bets on either ""noir"" (black) or ""rouge"" (red) numbers on the wheel."
YENS,Desires,Yen: a strong desire or propensity
ACME,Pinnacle,"Acme: the point at which someone or something is best, perfect, or most successful."
SHAG,Layered Hairstyle,"a ""shag"" is a layered hairstyle that was popular in the 1970s. The shag is typically characterized by long, feathered layers that create a shaggy or tousled appearance."
PRADA,The Devil wears ___,The Devil Wears Prada is a 2006 American comedy-drama film directed by David Frankel and produced by Wendy Finerman.
ASPS,Nile vipers,"""Asp"" is the modern anglicisation of the word ""aspis"", which in antiquity referred to any one of several venomous snake species found in the Nile region."
OWN,Part of MYOB,MYOB: Initialism of �mind your own business�.
OBERON,One of the moons of Uranus,"Oberon, also designated Uranus IV, is the outermost major moon of the planet Uranus. It is the second-largest and second most massive of the Uranian moons, and the ninth most massive moon in the Solar System."
ARE,Where the boys ___,Where the Boys Are was one of the first teen films to explore adolescent sexuality and the changing sexual morals and attitudes among American college youth.
SID,___ and Nancy,"Sid and Nancy is a 1986 British biographical film directed by Alex Cox, co-written with Abbe Wool, and starring Gary Oldman and Chloe Webb."
LIV,Tyler who played the elf Arwen,"Liv Rundgren Tyler is an American actress, producer, singer and former model. She began a modeling career at age 14."
HALL,Monitor�s domain,"In a school or university setting, a ""monitor"" is typically a student who is responsible for overseeing a specific area or activity, such as a study hall or computer lab."
ILIAD,Inspiration for �Troy�,"The Iliad is one of two major ancient Greek epic poems attributed to Homer. It is one of the oldest extant works of literature still widely read by modern audiences. As with the Odyssey, the poem is divided into 24 books and was written in dactylic hexameter. Troy is a 2004 American epic historical war film directed by Wolfgang Petersen and written by David Benioff."
RICCI,Christina of �Sleepy Hollow�,"Christina Ricci is an American actress. Known for playing unusual characters with a dark edge, Ricci predominantly works in independent productions, but has also appeared in numerous box office hits."
PAT,Butter Square,"Butter squares are sometimes called ""pats"" in culinary terminology."
ELL,Wing,"""ell"" can be used to refer to the shape of a right-angled bend or corner, which looks like the letter L. In architecture, this type of bend is sometimes called an ""ell,"" and it can be used to create wings or extensions on a building."
CLARA,Bow in silent movies,"reference to Clara Bow, a popular silent film actress who was known for her signature hairstyle and vivacious personality."
ABIE,�___ Baby� (Hair Song),Hair: The American Tribal Love-Rock Musical is a rock musical with a book and lyrics by Gerome Ragni and James Rado and music by Galt MacDermot. �Abie Baby� is a song from the musical.
NASA,�The Right Stuff� Org.,"""The Right Stuff"" is a well-known book and movie about the early days of the American space program. The book, written by Tom Wolfe, chronicles the lives of the first American astronauts and their experiences in the space program."
AAMILNE,Pooh�s creator,"Alan Alexander Milne was an English writer best known for his books about the teddy bear Winnie-the-Pooh, as well as for children's poetry."
ENNUI,Listless feeling,ennui: a feeling of listlessness and dissatisfaction arising from a lack of occupation or excitement.
BLONDEVENUS,1932 Marlene Dietrich film,"Blonde Venus is a 1932 American pre-Code drama film starring Marlene Dietrich, Herbert Marshall and Cary Grant."
UTA,Hagen of �The Boys From Brazil�,Uta Thyra Hagen was a German-American actress and theatre practitioner. The Boys from Brazil is a 1978 science fiction thriller film directed by Franklin J. Schaffner.
ELITE,Choice,"The word ""choice"" can be used as a synonym for ""excellent"" or ""top-quality,"" and in this sense, it is often associated with the idea of selecting the best or most desirable option from a range of possibilities ie. �The restaurant's menu features a choice selection of wines from around the world.�"
ERIE,Keystone State Port,"Erie is a city in the state of Pennsylvania, which is known as the ""Keystone State"" because of its central location among the original 13 colonies of the United States.""Keystone state"" refers to Pennsylvania, and ""port"" refers to Erie's importance as a center of maritime trade and transportation."
AMA,Doctors Org.,AMA: American Medical Association
RIRI,"�Diamonds� singer, to her fans","""Riri"" is a nickname commonly used by fans and the media to refer to the Barbadian singer Rihanna. �Diamonds� is a song by Rihanna."
MAY,Prime minister before Johnson,"Theresa May was the Prime Minister of the United Kingdom from 2016 to 2019, before Boris Johnson succeeded her in the role."
NADIA,Sweetheart of the 1976 Olympics,"Nadia Com_neci was a Romanian gymnast who won three gold medals at the 1976 Summer Olympics in Montreal, Canada. Com_neci's remarkable performance made her an instant celebrity and earned her the nickname ""Sweetheart of the 1976 Olympics."""
LADD,Diane of �Rambling Rose�,"Diane Ladd is an American actress who received an Academy Award nomination for her role in the 1991 film ""Rambling Rose."" Ladd is also known for her roles in other films and TV shows, including ""Alice Doesn't Live Here Anymore,"" ""Chinatown,"" and ""Wild at Heart."""
BIGMARY,Nickname of 1860s con artist Eliza Wallace,"Eliza Wallace, also known as Mary Lorillard, was a 19th-century American con artist who went by the nickname ""Big Mary."" Wallace was known for her elaborate scams, including posing as a wealthy heiress and selling fraudulent oil stocks."
ADA,Nicole Kidman�s role in �Cold Mountain�,"Nicole Kidman played the character Ada Monroe in the 2003 film ""Cold Mountain."" ""Cold Mountain"" is a period drama set during the American Civil War and is based on the novel of the same name by Charles Frazier."
MONAE,Janelle of �Moonlight�,"Janelle Monae is an American singer, songwriter, and actress who played the character Teresa in the 2016 film ""Moonlight."" ""Moonlight"" is a coming-of-age drama that won the Academy Award for Best Picture in 2017."
EVERANDANON,"Occasionallly, in poetry",ever and anon is an archaic way of saying occasionally.
BROSNAN,007 portrayer between Dalton and Craig,"Pierce Brosnan is an Irish actor who played the role of James Bond, also known as Agent 007, in four films released between 1995 and 2002. Brosnan's tenure as James Bond came after Timothy Dalton's and before Daniel Craig's."
ASTAIRE,Frequent co-star of Rogers,"Fred Astaire was an American actor, dancer, and singer who appeared in ten films with his frequent on-screen dance partner, Ginger Rogers, during the 1930s."
GOOSELIVER,P�t� base,"p�t� is a French dish typically made from finely ground meat, often liver, and various seasonings. Goose liver is a common ingredient used to make p�t�, and it is considered a delicacy in many parts of the world."
ASHES,�Angela�s ___�,"""Angela's Ashes"" is a popular memoir written by Irish author Frank McCourt. The book describes McCourt's childhood growing up in poverty in Limerick, Ireland, and was later adapted into a film and stage play."
OPERAS,Verdi offerings,"Giuseppe Verdi was an Italian composer who is widely considered to be one of the most influential composers of opera in the 19th century. Verdi composed many popular operas, including ""La Traviata,"" ""Rigoletto,"" and ""Aida."""
ALI,"Mahershala of ""Moonlight""","Mahershala Ali is an American actor who won an Academy Award for Best Supporting Actor for his role in the 2016 film ""Moonlight."" In the movie, Ali played the character Juan, a drug dealer who becomes a mentor to the film's main character, Chiron."
ALBS,Clerical vestments,"an alb is a white liturgical vestment worn by clergy during religious services. The word ""alb"" comes from the Latin word ""albus,"" which means white."
CHANG,P.F. ___'s,P.F. Chang's is a popular chain of Chinese-themed restaurants in the United States. The chain was founded in 1993 and has locations in many major cities throughout the country.
SICS,Unleashes (on),"the verb ""sic,"" meaning to set or incite a dog or other animal to attack someone. In this sense, ""sics"" could be said to mean ""unleashes (on),"" as the verb implies directing an animal to attack or pursue a target."
