clue,answer
Carol's about to tolerate bad language,swearing
Explorer or actor Sebastian,cabot
TV talk pioneer,paar
"Utter failure, figuratively",lead balloon
Ages and ages,e on
"Denmark, a hyperactive place with a platform for free speech",Hyde Park
Clean-up target,mess
Archaic negative.,nill
People slaloming,skiers
Man who runs a wine-shop,Bodeguero
Late resident of Doorn.,Kaiser
"What's up, in Portuguese",eai
- Ark,no ahs
"Done, in poetry",oer
"Bill Moyers speech on income inequality in America, with ""The""",fightofourlives
Started a film scene gradually,faded in
Bitter salad veggie,endive
Unpopular insulation,asbestos
Pearl container (wordplay),oyster
Raft user,poler
Brian ___. ,Boru
Back to the Future destination,past
Rioting blamed for uproar,Bedlam
Great ___.,Scott
Plaintiff,accuser
More than simmering,aboil
House-warming method,gas heat
___ finger (pointer),index
Minn. neighbor ,sdak
West of Broadway. ,mae
Thick-coated spitz type of dog originally from China,chow
Unaspirated wood tillers,elms
___ Sea (Italy/Greece separator),ionian
Ham or beef,meat
Ukraine river,donets
Subatomic bit,electron
In a mournful manner,sadly
Prod. ,urge
Conductor's beginning (wordplay),semi
Give a joint prize (wordplay),reward pot
Downloadable patch,bug fix
"Foolery, sir, does walk about the ___ like the sun (Shakespeare)",or b
Car with old sound,audio
Will he at last bury his type of work (wordplay),printer
Cash,lolly
___ Paese (cheese choice),bel
Counting-out words for George ,eenymeanymineymo
Take flight.,wing
"Potato sack race, essentially (wordplay)",hop against hop
"Cell fragment in the blood, important for clotting",platelet
"Cultural matters, with ""the""",arts
Shape of some docks,ell
G.O.P. name.,Nixon
Piece,gun
"Cape, in place names. ",ness
Many an article by Ronnie on fruit,citron
Reportedly flog prisoner probably in here,cell
Scantlings. ,studs
Priscilla Mullens John,Alden
Important people,lions
Pool game with 21 balls,snooker
Quickly Slang. ,PDO
Huge format,imax
It comes in a small box,ring
Set in a groove,dado
Boy present for a musical performance,sonata
This bus might get one down before this,ere
Medical drama locales abbreviation,ers
Sixth-century date. ,DXI
Google or Dropbox offering,free storage
Cauterizes ,sears
Like the smell of burning rubber,a crid
Sound made after breaking out (wordplay),Peep
Amass,rake in
Fish that yields caviare,sturgeon
Cheers Span. ,oles
___ in Calico: Crosby song,a gal
Blazingly bright,aglare
Walter Reed rms.,or s
Steel Ger,stahl
Ex-N.J. Governor,kean
Maintain once more the RAs among the trees,reassert
Enthusiastic about,in to
Inspector's employer abbreviation,usda
"With a bow, on a score",arco
Lost no time,raced
Mean persons,caitiffs
Pizza party leftovers,crusts
Obscenities,fletter words
Energetic one,dynamo
Texans' organization,NFL
Figures on the score board.,runs
It may not include a kiss,first date
Swampy forest region of Siberia.,urman
TV princess of Amphipolis,xena
Divides equally,bisects
Former president of Romania,Iliescu
Cast member of a play,stage actor
Controversial wiretapping group,nsa
The greatest follower of Buddhism initially in southeast Asia,bali
Italian astronomer.,Galileo
Short ballet skirt,tutu
Albatross,Goonie
Blackfish,tautogs
Johnny a.k.a. Appleseed,chapman
Is in need of,lacks
Actors.,tragedians
Rare slip may produce an aggressive response,reprisal
Resource Conservation and Recovery Act organization,EPA
Newsroom measures,picas
Depp's 'Sleepy Hollow' co-star,Ricci
Irish operator is such a person in trade,shopkeeper
"Delta Tau Chi, familiarly",animal house
Blow that for a cold spell!,sneeze
Body of moral values,ethic
Change over.,convert
Race horse Slang ,geegee
Spend time in a bookstore,browse
This expression of appreciation has been given the nod,acknowledgement
Like forbidden fruit,taboo
"Sycosis source, informally",staph
Speaks after a few drinks perhaps,slurs
Political symbol ,elephant
Subject for Freud,eros
Study land agreement,contract
One's mate in amicable wrangling. ,sparring partner
Moccasin material,doeskin
Lees Traveller,steed
Hue's partner ,cry
"Iditarod terminus, or a hint to the starred entries",nome
"Like many a poet, for short",an on
"Osbert, Sacheverell and Edith were members of this literary family",sit well
Some are practical ,nurses
"___ Porath, Swedish film actor",ove
Groups of thousands (wordplay),casts
Animal on target (wordplay),bull
Literary first name.,Upton
One Direction member who named the band (like you know any of the other members),Harry styles
Swamp,Quag
"Tot's vehicle, for short",trike
___ loaf.,half a
Likewise. ,similarly
"Liquid in garage boxes for all to see, one can measure water",rain gauge
Word following ankle or nail,biter
"Coach's lack, often",Le Groom
Bucks in the woods,stags
Jewish month ,iyar
Group now living in Oklahoma ,pawnee
___ blue (pale hue),ETA in
"___ man who makes potions... (""Your Song"")",ora
Played a guitar,chorded
Animal protection assn,spca
Rip-off scheme,scam
Like hard fat.,suety
R&B album that won a 1987 Grammy,aretha
Typical prerequisite to geom.,f
Some dishwashers,a manas
Joint for a mortise,tenon
Slowly burning,smouldering
119 Across' first name,an n
Capital city on the Red River. ,Hanoi
Like butterless toast,dry
It can be reopened after being shelved,literary work
"Group headquartered in Vienna, Austria",opec
"Winning smile, they say",asset
Tricked ,foxed
Coil in a shed,hose
Protest movement starting to go viral animated by primary opponent,archrival
Ply with medicine. ,dose
Gun barrel cleaners,ramrods
A Turner or Sinatra ,Tina
'Back in the ___',USSR
Test that may reveal a torn ACL,mri
N. C. college.,elon
Mirror obscurer,steam
Dutch town - tin-glazed earthenware,delft
"Doorkeepers, on France",concierges
Finger.,index
"There's no delay on a couple of potentates, by the sound of it",brace of shakes
TV revenue,ads
Part owner of the Yankees.,Dan Topping
Backing international dissent,protest
Put on a performance.,act apart
Minds ,tends
Loki's son,n are
Outlawed weapon,nerve gas
Tutelary deity.,Daemon
One of Lou Grants reporters,Rossi
Luke Skywalkers power with the,force
"Miles of ""Birth of the Cool""",Davis
Revelry of a sort,orgy
<I>Typee<I> sequel,omoo
Talk to persistently and with a big mouth,Yapat
"Morlock's meal, perhaps",eloi
"Out of the fridge, if it's working there",office
New age chant,omom
Milk beverage. ,posset
Freaks out,goes ape
"Two the first one, no (wordplay)",even
Head: Ger.,KOPF
Locked up,caged
"See 1, 12, 15, 23 across and 3, 6, 9 down",writer
Old-time exclamation,egads
Clever Bombeck,Erma
"Show where The B-52's redid ""Love Shack"" as the dueling song ""Glove Slap""",the simpsons
Shaker partner,Mover
Was a sub,stood in
Something to eat: Colloq.,donut
Protective charm. ,Amulet
Presaged. ,omened
"Scot's ""Count me out!""",nae
___-size (small).,pint
Bird with mild ailment taking in hospital,chough
Set,prepared
"George and Ira ..., American musical brothers",gershwin
Sentence,condemn
Blues,collarbird grass
"Billy Dee Williams's ""Star Wars"" role",Lando Calrissian
Item found in a pine forest,cone
"Restaurant briefly featured in ""The Muppets Take Manhattan""",SARDIS
Convention adoption,plank
"M. Bonnet, French Ambassador to U. S.",Henri
Stuff in an orange pot,decaf
Senior academic (colloq.),PROF
In the middle,centered
Kind of cinch,lead pipe
Beetles member,scarab
"Punta del ___, Uruguay. ",este
Pataki's bailiwick (abbreviation),NYS
Brings along,tows
"""Bottle with the doves"" perfume brand",Ricci
Pass again,relap
Goddess in hieroglyphs,isis
"Small, mischievous one",imp
Warns a la Fido,snarls at
Edgardos love,Lucia
Request on an invitation,rsvp
Press and fold say,knead
"Plenty, to Omar.",Enow
Organization behind the COINTELPRO operations,FBI
Trout trapper,net
A lot came across one back there,item
Cliched climax of a movie thriller,car chase
___ The Limit (Biggie Smalls single),skys
Photocopier 'ink',xerox toner
Teensy bit,at ad
"Sting ""I ___ it, but it's probably me""",Hate to say
Exclude from a group,ostracise
1935 Astaire/Rogers film,Robert a
To the degree that,in so far
Brandished,wielded
Tweety ___ of Warner Bros. cartoons,bird
Parked like a barque,moored
The better part of valor ,discretion
___ se habla espanol,dore
Want of merriment.,tedium
Pre-dawn adjective. ,darkest
See!,whatdiditellyou
Part of U.S.M.C.,corps
"A good press agent, for example",master of spin
Urges Slang. ,yens
Extending over.,a stride
In a small court what they used to charge for a TV series,cold feet
Oversized radios,wide receivers
Elaine of Astolat's son,Gala had
Approaches a boil,see thes
Gets through,manages
"""SNL"" staple",skit
Baffle pursuit. ,evade
Broadcast as an encore,reran
Ivan (the) Terrible is self-complacent,vain
Schubert classic. ,Ave Maria
English comic actor,blore
Charges with an offense.,indicts
"Barry ___, O'Neal film",Lyndon
Cheers up//Gives confidence to,en heartens
Pung or monoski ,sled
Good for nothing,useless
Wetland with sphagnum,peat bog
Become black by burning,char
Futuristic arm,Ray Gun
Good beginning,a foot in the door
Part of a shoe,inner sole
Company added to the Dow 30 in 2013,visa
"Dog dodgers, usually",cats
Makes quits.,evens
Of firmly fixed opinions,dyed in the wool
Island where many a 40-Across lives,born eo
as hell,immad
Granada song writer,Lara
Springtime wild flower,anemone
Kodak's Camera-net Sauvignon: Full-bodied with a...,photo finish
Very fond of,attached to
"Declaration of August 14, 1941, regarding peace aims after W.W. II",Atlantic Charter
Slowly moving ice-masses,glaciers
Image on an ancient mariner's map,sea serpent
Not lge. or med.,sml
"Brought back inside, always it's uneasy",restive
Handled handily,a ced
'Star Wars' knight,Jedi
"Administer without a split, so it would seem",apparently
Four: Pref,tetr
Put a document in the wrong place,misfile
Half-timbered style,Tudor
My Life With the Chimpanzees author,goodall
Roman consul who captured Syracuse in B.C. 211,Marcellus
Nonmetric measure,inch
Pastry often filled with fruit,pie
Philippine timber tree.,a cle
'So this turtle walks into ___ ...',a bar
Bring into the family,adopt
Threatened strikes that don't come off,feints
Garden center stock,soil
Lilylike plants.,nerines
Could It ___ Falling in Love (wordplay),Beim
Sliding bolt in a machine. ,pawl
Heavy stakes ,spiles
"Twelver, for example",shiite
Kind of football in an acad.,canadian
Gruff.,harsh
Engage in. ,have
Nautical ropes.,main sheets
Certain parcels of earth,acres
"Strange thing, a peculiarity",oddity
Phrase from the whodunits. ,xmarksthespot
