I  N  C  A  .  C  -  S  C  A  N  .  O  S  B  E  L
L  E  A  D  .  O  H  M  A  G  E  .  U  I  L  L  I
S  U  T  S  P  H  -  U  S  E  S  .  T  M  O  W  N
A  R  N  .  A  O  -  D  I  N  .  .  C  U  -  -  E
M  O  A  O  R  S  .  G  O  T  .  R  O  L  D  .  .
W  I  P  A  K  .  W  E  S  .  C  E  M  A  D  L  R
.  .  .  T  E  P  H  .  .  F  U  L  E  T  L  L  S
W  B  S  .  L  E  N  G  T  R  A  N  .  E  I  N  M
A  A  I  .  S  E  R  E  N  G  R  T  H  .  N  G  M
S  H  L  M  .  C  L  E  M  E  I  T  É  .  G  S  Y
P  A  V  C  A  H  E  S  .  .  T  O  L  E  .  .  .
S  I  E  K  B  E  D  .  T  E  Y  .  O  O  R  J  M
.  .  R  E  A  C  .  P  E  S  .  B  Ï  A  V  E  S
C  H  W  L  L  .  .  A  T  H  E  N  S  .  -  E  -
H  E  A  L  O  .  S  T  R  A  A  O  E  L  R  V  O
A  R  R  E  N  .  H  E  A  R  S  E  .  U  S  E  R
P  E  E  N  E  .  O  L  D  I  E  S  .  M  E  S  S
