E  M  O  J  I  .  A  R  K  .  P  R  I  D  E
R  A  T  E  D  .  E  E  O  .  T  E  N  T  Y
O  Z  O  N  E  .  L  E  T  .  A  T  A  R  I
D  E  E  .  -  -  -  -  -  -  -  .  M  O  P
E  L  S  E  .  S  H  E  E  P  .  N  E  W  S
.  .  .  R  P  G  .  .  .  T  O  F  .  .  .
.  .  -  -  -  -  -  -  -  -  -  -  -  .  .
P  H  I  .  -  -  -  -  -  -  -  .  R  A  P
I  O  N  .  .  .  T  S  A  .  .  .  R  I  O
E  M  O  .  -  -  -  -  -  -  -  .  U  R  L
-  -  -  -  -  -  -  .  -  -  -  -  -  -  -
.  F  A  R  E  S  .  .  .  B  R  E  A  D  .
-  -  -  -  -  -  -  -  -  -  -  -  -  -  -
-  -  -  -  .  T  E  X  A  N  .  L  I  N  E
A  L  S  O  .  S  T  E  W  S  .  S  T  E  P
