P  R  I  M  A  .  J  E  A  N  .  C  O  R  A
F  I  N  E  D  .  O  T  T  O  .  O  V  E  N
C  O  S  T  I  .  B  A  M  Ë  B  D  E  A  N
.  .  C  E  E  L  O  .  .  L  A  E  R  S  .
C  H  A  R  U  S  B  O  Y  .  Y  R  D  I  A
D  A  C  .  .  D  A  T  U  M  .  .  U  N  O
C  L  E  S  P  .  .  H  A  I  R  I  E  S  T
.  .  .  H  I  D  D  E  N  G  E  M  .  .  .
H  O  M  E  G  I  A  L  .  .  L  I  V  E  N
E  G  A  .  .  S  A  L  S  A  .  .  T  E  D
M  L  D  A  S  .  T  O  L  L  P  L  A  Z  A
.  N  I  M  O  Y  .  .  A  P  R  I  S  .  .
R  O  S  E  P  E  T  A  L  .  A  T  A  N  D
E  C  O  N  .  N  O  G  O  .  T  R  A  I  L
F  O  N  D  .  S  T  E  M  .  T  A  L  T  Y
